52b73af6426aae25f6ff76fb96e7d164bebaac1e1b07161ccd5c76997d1b72d4, 0, 893, 2, 0, 4, 1, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 31, 80, 0, 7, 0, 0, 0, 0, 6, 68, 0, 0, 2, 7, 229, 0, 60, 0, 0, 0, 0, 0, 44, 15, 0, 0, 0, 0, 0, 0, 0
df13d5a8d30f2202c0704d93a614c140c9f94be4a871a8d1e059df8a0a14bfb1, 0, 768, 1, 0, 3, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 41, 53, 10, 0, 22, 0, 1, 1, 1, 0, 52, 0, 0, 11, 8, 169, 0, 72, 0, 0, 0, 13, 0, 46, 26, 0, 1, 0, 0, 9, 0, 0
21cb166002afa3fe4adfb6ac7c09b5a804b063db21effaac4e653fa36c1268d8, 0, 1492, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 52, 183, 50, 0, 28, 0, 0, 0, 0, 0, 337, 0, 0, 3, 7, 173, 0, 65, 5, 10, 98, 35, 0, 11, 180, 0, 0, 0, 0, 0, 0, 0
e6bc84ba88370bae72217394a1dcbd0acfd4b5648c358ec4e26bf25db334a6df, 0, 2991, 13, 0, 5, 0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 216, 52, 120, 19, 20, 0, 0, 1, 0, 1, 230, 0, 0, 73, 5, 2043, 10, 1928, 0, 0, 65, 72, 8, 451, 1538, 0, 0, 0, 0, 0, 0, 0
54bbcd081fe3a17cf478a2bb5e3851191bd945b00d0c51286bfa17a6ec237f72, 0, 813, 7, 0, 4, 0, 5, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 75, 170, 80, 0, 142, 0, 0, 0, 0, 5, 695, 0, 0, 4, 11, 289, 0, 60, 1, 20, 3, 4, 0, 13, 115, 0, 44, 44, 0, 0, 0, 0
48d5872be27bbb92789e9d76bc08671782410c68a9806d0661a2c47abe6b4274, 0, 1186, 3, 0, 3, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 54, 145, 31, 0, 32, 0, 0, 0, 0, 0, 203, 0, 0, 3, 7, 413, 0, 38, 3, 8, 76, 34, 0, 16, 117, 0, 0, 0, 0, 0, 0, 0
0026114d5055f74815042c266b0edc372b9fe292a1b8f0a576b12fb1c819a4b5, 0, 416, 0, 1, 5, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 3, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 13, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0f25762948dfb20b284b26f07f9b23627dbc490aff12ed8719abd0769afd34bc, 0, 244, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 29, 73, 12, 0, 4, 0, 0, 0, 0, 0, 48, 0, 0, 1, 2, 45, 0, 5, 0, 0, 0, 50, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0
fb7d8c2c1d29d7c57ab5f7ca520809df303a29e30aa6953d18236d9047a73c22, 0, 304, 4, 0, 3, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 31, 94, 11, 0, 5, 0, 0, 0, 0, 0, 57, 0, 0, 1, 2, 70, 0, 9, 0, 0, 0, 33, 0, 4, 85, 0, 0, 0, 0, 0, 0, 0
4f1b9729d4e92e1d98b5932639299c17704fef8aece8e0cc4cc6c055752494b0, 0, 452, 1, 0, 8, 0, 57, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 29, 2, 42, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 1, 0, 37, 0, 7, 0, 4, 0, 1, 0, 3, 2, 0, 1, 1, 0, 0, 0, 0
b49a886ea08733644d61371f790ebe2b83900629e6686dad67a27bbcf57558a7, 0, 862, 3, 0, 6, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 10, 341, 3, 0, 323, 0, 0, 0, 0, 0, 35, 0, 0, 8, 8, 31, 0, 3, 0, 0, 2, 0, 0, 20, 18, 0, 0, 0, 0, 0, 0, 0
